"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:42:32 GMT 2022","66161","tests","test_suite_demo","SignUpTest","","","test_Signup_Verify_Signup_page",""
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:42:20 GMT 2022","53525","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_IndividualAccount",""
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:42:30 GMT 2022","63882","tests","test_suite_demo","LoginTest","","","test_Login_Verify_LoginPage",""
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:42:20 GMT 2022","53739","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_InvalidCredentials_VerifyErrorMessage",""
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:43:17 GMT 2022","111308","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServiceLocation",""
"passed","Wed Aug 10 08:41:28 GMT 2022","Wed Aug 10 08:42:26 GMT 2022","57617","tests","test_suite_demo","SignUpTest","","","test_Signup_CreateAccount_Individual",""
"failed","Wed Aug 10 08:41:28 GMT 2022","Wed Aug 10 08:43:18 GMT 2022","110059","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditSkills",""
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:42:27 GMT 2022","60951","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_Admin_Page",""
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:43:18 GMT 2022","112313","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditProfile",""
"passed","Wed Aug 10 08:41:27 GMT 2022","Wed Aug 10 08:42:23 GMT 2022","55599","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_username",""
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:42:19 GMT 2022","52850","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_BusinessAccount",""
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:44:56 GMT 2022","210172","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServices",""
"passed","Wed Aug 10 08:41:25 GMT 2022","Wed Aug 10 08:42:20 GMT 2022","54211","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Admin",""
"failed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:43:18 GMT 2022","112023","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditListingAndPackages",""
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:42:35 GMT 2022","68796","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_CountrySettings_Pagination",""
"failed","Wed Aug 10 08:41:25 GMT 2022","Wed Aug 10 08:43:24 GMT 2022","118905","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Google",""
"passed","Wed Aug 10 08:41:26 GMT 2022","Wed Aug 10 08:42:23 GMT 2022","56881","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_email",""
